source_id,source_name,target_id,target_name,weight,year,percentage,width
3,Tech House,1,House,2234,2009,19.400781589231435,19.400781589231435
3,Tech House,4,Deep House,1038,2009,9.014329135909684,9.014329135909684
3,Tech House,20,Electro,666,2009,5.7837603126356925,5.7837603126356925
3,Tech House,8,Progressive House,953,2009,8.276161528441165,8.276161528441165
3,Tech House,25,Minimal,2744,2009,23.829787234042556,23.829787234042556
3,Tech House,11,Electro House,242,2009,2.101606600086843,2.101606600086843
3,Tech House,22,Techno,1854,2009,16.100738167607467,16.100738167607467
3,Tech House,16,Trance,128,2009,1.1115935735996527,1.1115935735996527
8,Progressive House,1,House,1688,2009,19.566477338588154,19.566477338588154
8,Progressive House,53,Progressive Trance,820,2009,9.50504230902979,9.50504230902979
8,Progressive House,20,Electro,865,2009,10.026660484525328,10.026660484525328
8,Progressive House,3,Tech House,1445,2009,16.74973919091225,16.74973919091225
8,Progressive House,16,Trance,724,2009,8.392256867972645,8.392256867972645
8,Progressive House,11,Electro House,627,2009,7.267879911904486,7.267879911904486
8,Progressive House,7,Euro House,153,2009,1.7735017966848268,1.7735017966848268
8,Progressive House,4,Deep House,268,2009,3.1065260229511997,3.1065260229511997
8,Progressive House,9,Tribal House,102,2009,1.1823345311232178,1.1823345311232178
8,Progressive House,25,Minimal,204,2009,2.3646690622464357,2.3646690622464357
8,Progressive House,22,Techno,350,2009,4.057030253854179,4.057030253854179
8,Progressive House,21,Downtempo,133,2009,1.541671496464588,1.541671496464588
8,Progressive House,24,Breaks,173,2009,2.0053320969050654,2.0053320969050654
4,Deep House,1,House,1952,2009,25.623523234444733,25.623523234444733
4,Deep House,3,Tech House,1586,2009,20.819112627986346,20.819112627986346
4,Deep House,22,Techno,492,2009,6.458388028353898,6.458388028353898
4,Deep House,15,Disco,280,2009,3.6755053819900234,3.6755053819900234
4,Deep House,25,Minimal,475,2009,6.235232344447361,6.235232344447361
4,Deep House,8,Progressive House,349,2009,4.58125492255185,4.58125492255185
4,Deep House,5,Garage House,113,2009,1.4833289577316882,1.4833289577316882
4,Deep House,20,Electro,209,2009,2.743502231556839,2.743502231556839
4,Deep House,42,Experimental,80,2009,1.0501443948542923,1.0501443948542923
4,Deep House,21,Downtempo,303,2009,3.977421895510633,3.977421895510633
4,Deep House,40,Ambient,158,2009,2.0740351798372276,2.0740351798372276
4,Deep House,60,Dub Techno,160,2009,2.1002887897085847,2.1002887897085847
4,Deep House,44,Future Jazz,82,2009,1.0763980047256498,1.0763980047256498
25,Minimal,22,Techno,3502,2009,25.340086830680175,25.340086830680175
25,Minimal,1,House,942,2009,6.816208393632417,6.816208393632417
25,Minimal,20,Electro,492,2009,3.560057887120116,3.560057887120116
25,Minimal,8,Progressive House,329,2009,2.3806078147612157,2.3806078147612157
25,Minimal,23,Abstract,313,2009,2.264833574529667,2.264833574529667
25,Minimal,40,Ambient,485,2009,3.5094066570188134,3.5094066570188134
25,Minimal,42,Experimental,556,2009,4.0231548480463095,4.0231548480463095
25,Minimal,61,Synth-pop,177,2009,1.280752532561505,1.280752532561505
25,Minimal,251,Drone,232,2009,1.678726483357453,1.678726483357453
25,Minimal,152,Noise,167,2009,1.2083936324167872,1.2083936324167872
25,Minimal,3,Tech House,3961,2009,28.661360347322724,28.661360347322724
25,Minimal,4,Deep House,430,2009,3.1114327062228653,3.1114327062228653
25,Minimal,60,Dub Techno,231,2009,1.6714905933429811,1.6714905933429811
74,Drum n Bass,102,Jungle,312,2009,6.324751672410297,6.324751672410297
74,Drum n Bass,232,Dubstep,279,2009,5.655787553213055,5.655787553213055
74,Drum n Bass,29,Dub,119,2009,2.41232515710521,2.41232515710521
74,Drum n Bass,24,Breaks,174,2009,3.5272653557672817,3.5272653557672817
74,Drum n Bass,42,Experimental,196,2009,3.97324143523211,3.97324143523211
74,Drum n Bass,1,House,189,2009,3.831339955402392,3.831339955402392
74,Drum n Bass,22,Techno,148,2009,3.0002027163997567,3.0002027163997567
74,Drum n Bass,32,Breakbeat,260,2009,5.270626393675249,5.270626393675249
74,Drum n Bass,125,Hardcore,148,2009,3.0002027163997567,3.0002027163997567
74,Drum n Bass,40,Ambient,166,2009,3.365092235961889,3.365092235961889
74,Drum n Bass,21,Downtempo,172,2009,3.486722075815934,3.486722075815934
74,Drum n Bass,190,Breakcore,158,2009,3.202919116156497,3.202919116156497
74,Drum n Bass,64,Broken Beat,56,2009,1.1352118386377457,1.1352118386377457
74,Drum n Bass,20,Electro,266,2009,5.3922562335292925,5.3922562335292925
74,Drum n Bass,97,IDM,177,2009,3.588080275694304,3.588080275694304
74,Drum n Bass,23,Abstract,83,2009,1.6825461179809444,1.6825461179809444
74,Drum n Bass,16,Trance,90,2009,1.824447597810663,1.824447597810663
74,Drum n Bass,61,Synth-pop,69,2009,1.3987431583215082,1.3987431583215082
74,Drum n Bass,95,Industrial,71,2009,1.4392864382728563,1.4392864382728563
74,Drum n Bass,46,Big Beat,51,2009,1.0338536387593755,1.0338536387593755
74,Drum n Bass,54,Hip Hop,91,2009,1.844719237786337,1.844719237786337
74,Drum n Bass,171,Glitch,53,2009,1.0743969187107236,1.0743969187107236
15,Disco,105,Italo-Disco,178,2009,1.9622974313747106,1.9622974313747106
15,Disco,20,Electro,705,2009,7.772020725388601,7.772020725388601
15,Disco,1,House,1293,2009,14.25421673464888,14.25421673464888
15,Disco,28,Funk,557,2009,6.1404475802006395,6.1404475802006395
15,Disco,22,Techno,134,2009,1.4772351449674788,1.4772351449674788
15,Disco,21,Downtempo,219,2009,2.414287289163268,2.414287289163268
15,Disco,106,Leftfield,171,2009,1.8851284312644692,1.8851284312644692
15,Disco,47,Soul,486,2009,5.357733436225334,5.357733436225334
15,Disco,4,Deep House,281,2009,3.0977841472825487,3.0977841472825487
15,Disco,61,Synth-pop,551,2009,6.0743027229632895,6.0743027229632895
15,Disco,34,Vocal,134,2009,1.4772351449674788,1.4772351449674788
15,Disco,3,Tech House,145,2009,1.5985007165692868,1.5985007165692868
15,Disco,202,New Wave,125,2009,1.3780178591114542,1.3780178591114542
15,Disco,89,Pop Rock,313,2009,3.450556719215081,3.450556719215081
15,Disco,122,Indie Rock,125,2009,1.3780178591114542,1.3780178591114542
15,Disco,31,Europop,169,2009,1.8630801455186858,1.8630801455186858
15,Disco,69,Ballad,189,2009,2.0835630029765184,2.0835630029765184
15,Disco,7,Euro House,124,2009,1.3669937162385624,1.3669937162385624
16,Trance,53,Progressive Trance,1480,2009,21.01974151398949,21.01974151398949
16,Trance,59,Hard Trance,463,2009,6.575770487146712,6.575770487146712
16,Trance,103,Tech Trance,97,2009,1.377645220849311,1.377645220849311
16,Trance,22,Techno,339,2009,4.814657008947592,4.814657008947592
16,Trance,1,House,710,2009,10.083794915494957,10.083794915494957
16,Trance,20,Electro,449,2009,6.376935094446812,6.376935094446812
16,Trance,8,Progressive House,467,2009,6.632580599346684,6.632580599346684
16,Trance,3,Tech House,123,2009,1.7469109501491265,1.7469109501491265
16,Trance,137,Hands Up,83,2009,1.1788098281494106,1.1788098281494106
16,Trance,2,Hard House,86,2009,1.2214174122993893,1.2214174122993893
16,Trance,40,Ambient,102,2009,1.4486578610992757,1.4486578610992757
16,Trance,7,Euro House,327,2009,4.644226672347678,4.644226672347678
16,Trance,21,Downtempo,159,2009,2.258201959948871,2.258201959948871
16,Trance,67,Eurodance,82,2009,1.1646073000994177,1.1646073000994177
16,Trance,18,Italodance,74,2009,1.0509870756994746,1.0509870756994746
16,Trance,81,Dance-pop,89,2009,1.264024996449368,1.264024996449368
16,Trance,11,Electro House,102,2009,1.4486578610992757,1.4486578610992757
16,Trance,61,Synth-pop,105,2009,1.4912654452492544,1.4912654452492544
16,Trance,89,Pop Rock,72,2009,1.0225820195994888,1.0225820195994888
16,Trance,31,Europop,87,2009,1.2356199403493822,1.2356199403493822
20,Electro,11,Electro House,177,2009,1.0425256213923901,1.0425256213923901
20,Electro,1,House,3524,2009,20.75627282365414,20.75627282365414
20,Electro,32,Breakbeat,233,2009,1.3723642360702086,1.3723642360702086
20,Electro,15,Disco,527,2009,3.104016963128755,3.104016963128755
20,Electro,24,Breaks,267,2009,1.5726233949817412,1.5726233949817412
20,Electro,16,Trance,411,2009,2.4207798327247025,2.4207798327247025
20,Electro,22,Techno,1027,2009,6.049004594180704,6.049004594180704
20,Electro,232,Dubstep,214,2009,1.2604547060902345,1.2604547060902345
20,Electro,25,Minimal,348,2009,2.049711391212157,2.049711391212157
20,Electro,40,Ambient,265,2009,1.5608434444575332,1.5608434444575332
20,Electro,21,Downtempo,265,2009,1.5608434444575332,1.5608434444575332
20,Electro,95,Industrial,400,2009,2.3559901048415597,2.3559901048415597
20,Electro,42,Experimental,419,2009,2.4678996348215336,2.4678996348215336
20,Electro,114,EBM,303,2009,1.7846625044174815,1.7846625044174815
20,Electro,97,IDM,269,2009,1.5844033455059487,1.5844033455059487
20,Electro,3,Tech House,652,2009,3.840263870891742,3.840263870891742
20,Electro,202,New Wave,201,2009,1.1838850276828838,1.1838850276828838
20,Electro,122,Indie Rock,350,2009,2.0614913417363647,2.0614913417363647
